f1 f2 x y z length
2 219 30269.01767 20675.68891 5000 1819.406772
2 238 -30049.50124 -11396.75746 5000 994.2553732
2 336 18683.24978 12767.4967 5000 284.2349998
2 368 -12606.00504 49172.36197 5000 463.2781463
2 540 7556.449312 38578.04036 5000 280.5161761
2 605 11693.26741 38080.22818 5000 564.0654251
2 770 12828.17144 10232.46799 5000 1511.141212
2 795 8080.342333 26622.08673 5000 1111.038059
2 866 3343.919567 3878.313297 5000 485.0567781
2 868 23665.88591 10136.51877 5000 561.480513
2 900 3442.475905 -461.0544248 5000 449.1336391
2 1095 -19177.52744 43447.89136 5000 94.37587507
2 1218 -1307.768539 -37304.13129 5000 616.7506512
2 1312 9988.181952 20191.1137 5000 217.4310382
2 1370 9784.913891 39373.37797 5000 324.9928138
2 1445 32149.45961 -18234.45717 5000 256.1047832
2 1464 -36518.98647 -24843.38945 5000 556.1342408
2 1544 32378.0056 46468.3562 5000 994.1479576
2 1567 -49731.85642 -7800.096383 5000 296.5651839
2 1740 -28576.06248 -32544.60977 5000 293.9257243
2 1757 19794.82269 -5137.237561 5000 1135.221415
2 1783 -11034.69364 16668.8707 5000 382.9163068
2 1809 44508.63081 -5080.974948 5000 241.6007301
2 1865 -10429.00902 10219.69485 5000 416.0278585
2 1901 3790.28165 33808.38813 5000 237.7439736
2 2041 17950.32497 18636.12245 5000 157.2589386
2 -5 50000 0 5000 100000
2 -4 0 50000 5000 100000
2 -1 0 50000 5000 100000
2 -3 -50000 0 5000 100000
2 -6 0 -50000 5000 100000
10 -3 -50000 -36583.11646 -2732.752139 129.1120228
11 -1 24831.64957 26346.5053 5000 182.1735056
15 -2 37902.02466 26372.77766 -5000 962.3467742
72 -2 -1833.517426 35438.58301 -5000 267.2341353
80 -1 -12441.38101 -35684.32916 5000 1076.283908
115 -5 50000 -4701.523729 -1784.097725 235.097292
118 -5 50000 14715.70927 1286.528194 430.0931106
119 -1 36399.91235 20407.87091 5000 673.6070567
170 -6 -48129.30986 -50000 1864.19114 277.985931
171 -4 -23094.53534 50000 2779.993978 394.4642913
180 -1 7552.886054 36842.34705 5000 238.501517
193 -2 47198.03893 6932.148556 -5000 173.2153467
197 -1 -25607.28259 -27629.45292 5000 678.1099289
203 -2 16075.32776 36530.86061 -5000 455.1993928
208 -2 22306.44354 -40645.69738 -5000 357.9778588
216 -2 -46760.62051 -11088.73994 -5000 241.4191024
219 -1 30269.01767 20675.68891 5000 1819.406772
230 -4 11695.05476 50000 4197.864355 288.7126727
238 -1 -30049.50124 -11396.75746 5000 994.2553732
272 -5 50000 22950.27402 2746.670973 175.6678215
284 -2 -18161.12813 45214.97533 -5000 217.326479
313 -2 -39598.83537 26856.18423 -5000 1027.491409
336 -1 18683.24978 12767.4967 5000 284.2349998
340 -2 9264.40107 40986.06688 -5000 260.5234659
341 -4 10254.54176 50000 -1128.745583 555.6311202
365 -2 46910.84274 25031.89579 -5000 112.1907843
368 -1 -12606.00504 49172.36197 5000 463.2781463
383 -2 -28385.05425 -47733.1405 -5000 340.2532537
387 -2 16331.57876 25388.51862 -5000 210.4641924
394 908 -41226.81069 24019.33935 -4176.487875 928.7932478
423 -2 -45238.24006 26510.53031 -5000 1103.596497
436 -2 -10807.14875 -20112.76452 -5000 122.0662853
518 -2 -11982.34943 -45203.50808 -5000 226.3702843
540 -1 7556.449312 38578.04036 5000 280.5161761
552 -2 -46450.34535 18094.57673 -5000 1487.310389
562 -3 -50000 43815.9277 831.9812585 195.6331343
596 -2 -16491.13346 -7666.544804 -5000 917.0369721
605 -1 11693.26741 38080.22818 5000 564.0654251
658 725 -29877.93874 -11681.11242 -4117.725069 360.5625861
661 -2 28299.93169 5625.864421 -5000 1363.901996
687 -2 -33128.17834 1849.322901 -5000 375.7816866
760 -6 1571.375005 -50000 610.3670042 1019.718667
768 -2 49081.24314 18634.65323 -5000 1105.781438
770 -1 12828.17144 10232.46799 5000 1511.141212
795 -1 8080.342333 26622.08673 5000 1111.038059
805 -2 23567.61976 -40400.16151 -5000 1739.388074
816 1032 -37725.8743 -12226.54231 -2297.657573 332.0435778
866 -1 3343.919567 3878.313297 5000 485.0567781
868 -1 23665.88591 10136.51877 5000 561.480513
900 -1 3442.475905 -461.0544248 5000 449.1336391
975 -5 50000 -33206.38804 150.3141509 197.1841249
1000 -2 32191.51783 18368.50907 -5000 195.3143031
1052 -3 -50000 6556.532844 -95.41582615 199.3910185
1094 -2 49606.49727 -13069.8321 -5000 195.1074047
1095 -1 -19177.52744 43447.89136 5000 94.37587507
1127 -2 26842.77857 -45608.18939 -5000 627.1160239
1162 -2 33566.89681 41892.99559 -5000 210.1354811
1218 -1 -1307.768539 -37304.13129 5000 616.7506512
1231 -2 -18167.87328 -39059.22436 -5000 314.9765187
1232 -3 -50000 14738.48139 -2525.692152 129.8983424
1268 -2 32607.87467 39205.53837 -5000 237.2544315
1312 -1 9988.181952 20191.1137 5000 217.4310382
1313 -2 -44654.74846 -11508.37487 -5000 925.3370298
1316 -3 -50000 -38245.8256 -4313.403085 1026.216064
1338 -3 -50000 3432.228307 -1051.701974 309.8832716
1339 -2 13178.17316 -709.9754778 -5000 738.4699424
1370 -1 9784.913891 39373.37797 5000 324.9928138
1401 -2 32907.19774 16226.35019 -5000 693.1394188
1444 -2 26102.68167 -46612.07915 -5000 50.73410171
1445 -1 32149.45961 -18234.45717 5000 256.1047832
1464 -1 -36518.98647 -24843.38945 5000 556.1342408
1484 -2 29099.12629 10806.82004 -5000 186.5842217
1488 -2 5522.070488 -18072.0204 -5000 1525.360554
1544 -1 32378.0056 46468.3562 5000 994.1479576
1563 -2 45485.25729 -11054.14149 -5000 86.83145444
1567 -1 -49731.85642 -7800.096383 5000 296.5651839
1614 -2 35768.82743 -8691.127739 -5000 753.8006546
1683 -2 -4614.735073 -6961.189902 -5000 1676.063911
1740 -1 -28576.06248 -32544.60977 5000 293.9257243
1754 -6 45580.38819 -50000 -2730.508392 911.8855606
1757 -1 19794.82269 -5137.237561 5000 1135.221415
1760 -2 -22195.8682 7070.453606 -5000 142.006043
1764 -5 50000 -46533.58004 4120.090846 504.6140049
1783 -1 -11034.69364 16668.8707 5000 382.9163068
1809 -1 44508.63081 -5080.974948 5000 241.6007301
1848 -2 -684.5967294 35474.4128 -5000 276.9965871
1865 -1 -10429.00902 10219.69485 5000 416.0278585
1901 -1 3790.28165 33808.38813 5000 237.7439736
1910 -6 49725.75408 -50000 -4180.040673 849.7829078
1910 -5 50000 -49634.12705 -4394.383887 185.9520402
1930 -3 -50000 -41985.43877 2515.755862 425.2141435
2041 -1 17950.32497 18636.12245 5000 157.2589386
2109 -2 -13107.86902 -41131.50601 -5000 643.6682801
2142 -6 37642.49809 -50000 3119.883839 703.7010278
