nPolygons: 32
4 {5000, 5000, -500} {-5000, 5000, -500} {-5000, -5000, -500} {5000, -5000, -500} 
4 {5000, 5000, 500} {-5000, 5000, 500} {-5000, -5000, 500} {5000, -5000, 500} 
8 {-1357.78072079, 3370.48315572, 109.669235233} {-1275.56098247, 3351.28366181, 55.287649074} {-1250.85631535, 3283.49795992, -14.575373729} {-1298.13839074, 3206.83399943, -58.9950123169} {-1389.71000994, 3166.20047359, -51.9508579202} {-1471.92974995, 3185.39997894, 2.4307388899} {-1496.63440515, 3253.18566746, 72.2937446763} {-1449.3523454, 3329.84961756, 116.713381487} 
9 {4049.88267488, 623.875418295, 500} {4579.08303821, 884.779506072, 500} {4785.89295351, 1030.02363325, 138.133706545} {4690.30406894, 1035.99053335, -305.748770817} {4425.70977964, 928.776194444, -500} {4048.67338354, 742.891331545, -500} {3945.85901173, 689.639545376, -478.575024035} {3733.08876572, 540.209430811, -106.279596452} {3828.6776063, 534.242518977, 337.602797627} 
8 {4035.73251202, 1423.7167284, -33.0075222663} {4107.48405807, 1357.72637465, -40.9250288968} {4163.28549795, 1308.30314004, 22.3935486154} {4170.4490918, 1304.39849723, 119.857048132} {4124.77851425, 1348.2997236, 194.372689097} {4053.02696023, 1414.29008434, 202.290184017} {3997.225537, 1463.71330397, 138.971616733} {3990.06193714, 1467.61795275, 41.5081341389} 
8 {4150.51790224, -2393.56246544, -22.5058829166} {4208.30077617, -2337.32147633, 21.3343760589} {4220.22814211, -2246.38505839, 24.8249930958} {4179.3131145, -2174.02254438, -14.0787840397} {4109.52315033, -2162.62290537, -72.58766023} {4051.74027542, -2218.86391044, -116.427918901} {4039.8129177, -2309.80030598, -119.918530711} {4080.72793188, -2382.162813, -81.014765175} 
7 {-98.4545229939, 1100.32351778, -500} {-68.4190161454, 1110.40947299, -447.198746297} {-91.462705238, 1143.89403159, -364.489908836} {-169.002513083, 1176.15371117, -326.54427359} {-255.616664471, 1188.29122402, -355.589888244} {-300.567780301, 1173.19658364, -434.61222607} {-282.34994041, 1146.72443117, -500} 
8 {-4094.30401048, -3135.85391158, 276.897045531} {-4144.72608836, -3300.53070533, 399.614195275} {-4323.589263, -3373.96339646, 485.264300525} {-4526.11788132, -3313.13611353, 483.674687192} {-4633.6734562, -3153.68063064, 395.776519363} {-4583.25134946, -2989.00383063, 273.059359625} {-4404.38820872, -2915.57116608, 187.409279278} {-4201.85961608, -2976.3984244, 188.998880837} 
8 {109.262343604, -674.015901449, -186.827639703} {24.4491707906, -393.442866973, -7.70884991588} {-71.7123553403, -331.968316941, 316.284816465} {-105.403715607, -459.437138972, 500} {-20.4876352011, -1121.01080528, 500} {-14.2964907557, -1141.49191467, 486.924785246} {81.8650074524, -1202.96642116, 162.931200838} {133.044757751, -1009.33160914, -116.146167222} 
8 {-3568.35929501, 808.749442749, -8.95507041343} {-3595.97533249, 700.341959717, 62.0333705612} {-3608.64056164, 673.642349336, 191.187972817} {-3598.9358626, 744.290878773, 302.851704205} {-3572.54611352, 870.902614772, 331.613481111} {-3544.93007574, 979.310093814, 260.6250176} {-3532.2648503, 1006.00969464, 131.470445904} {-3541.96954618, 935.361182976, 19.8067289854} 
8 {-2560.22649454, 1870.53344949, 109.244568282} {-2537.67381443, 1768.95465465, 179.187031427} {-2434.58535575, 1712.20682054, 222.445299551} {-2311.34894992, 1733.53206925, 213.679258262} {-2240.15479017, 1820.43835911, 158.023936797} {-2262.7074834, 1922.01716325, 88.0814667352} {-2365.79592689, 1978.76497561, 44.8232140672} {-2489.03231809, 1957.43974399, 53.5892444438} 
8 {-721.097176097, -1104.46394004, 500} {-830.790245794, -984.869834511, 82.1361088533} {-589.869257193, -968.568094685, -355.785297191} {-153.803299303, -1072.49217961, -500} {-110.069385282, -1085.89120228, -500} {287.198191139, -1251.31102543, -287.602296496} {409.570368471, -1384.72868153, 178.561335965} {232.731991642, -1396.69432763, 500} 
