nPolygons: 2148
4 {50000, 50000, -5000} {-50000, 50000, -5000} {-50000, -50000, -5000} {50000, -50000, -5000} 
4 {50000, 50000, 5000} {-50000, 50000, 5000} {-50000, -50000, 5000} {50000, -50000, 5000} 
8 {39500.8707571, 17314.0642189, -1558.85470098} {39629.6746689, 17170.8140575, -1591.62396083} {39794.0074247, 17110.259752, -1504.94751474} {39897.6051015, 17167.8732221, -1349.59924071} {39879.7816218, 17309.9052671, -1216.58002902} {39750.9776841, 17453.1554352, -1183.81078587} {39586.6449693, 17513.7097163, -1270.48722007} {39483.0472967, 17456.0962701, -1425.83546508} 
8 {-23026.5458843, -35926.9725028, 2716.89039879} {-22986.7907135, -35976.1136859, 2658.15505175} {-22904.9258657, -35998.6149213, 2642.75984639} {-22828.9066676, -35981.2952854, 2679.72309045} {-22803.2641195, -35934.3003854, 2747.39222035} {-22843.0193059, -35885.1591986, 2806.12756961} {-22924.8841337, -35862.657973, 2821.52276541} {-23000.9033216, -35879.9776001, 2784.55953503} 
8 {38339.4729119, 26562.7995746, -3962.75443937} {37847.8897156, 26801.4865953, -3925.53076796} {37423.0289692, 26868.1512746, -4264.73621139} {37313.768396, 26723.742333, -4781.66878683} {37464.3991127, 26572.8069202, -5000} {38339.6502133, 26172.7483937, -5000} {38500.5552119, 26147.5008803, -4871.53471073} {38609.8158177, 26291.9097705, -4354.60223231} 
8 {-9011.00881058, 21755.8923631, 1367.22525635} {-9043.41126825, 21845.2569983, 1388.57676141} {-9036.19422986, 21904.5982009, 1465.50777642} {-8993.58533561, 21899.1546868, 1552.9531498} {-8940.54429298, 21832.1151985, 1599.68858432} {-8908.14183757, 21742.7505552, 1578.3370659} {-8915.35887786, 21683.4093716, 1501.40606637} {-8957.96776177, 21688.8528758, 1413.96070538} 
8 {-14553.5352938, -342.417328142, 1699.90320822} {-14538.7965041, -307.582012655, 1626.39846311} {-14585.5927543, -273.130503731, 1567.60319202} {-14666.5114226, -259.244030895, 1557.95887014} {-14734.151466, -274.057102863, 1603.11501645} {-14748.890242, -308.892422589, 1676.61976699} {-14702.0940033, -343.343923118, 1735.41502377} {-14621.175349, -357.230394692, 1745.05934628} 
8 {-34821.3339123, 28594.5233579, -120.88903853} {-34731.3707328, 28638.0632244, -102.385669991} {-34694.2488747, 28698.0498096, -29.2074859169} {-34731.7138136, 28739.343778, 55.7787113485} {-34821.8191129, 28737.7556851, 102.789172532} {-34911.7822959, 28694.2158095, 84.2857916968} {-34948.9041394, 28634.2292385, 11.1076217119} {-34911.4392152, 28592.9352724, -73.8785639424} 
8 {-27405.5538712, -21811.6320264, -1010.4641804} {-27429.311648, -21847.6461494, -887.405664356} {-27381.4780267, -21814.4136461, -770.733497283} {-27290.0732993, -21731.4016698, -728.792667635} {-27208.6411001, -21647.2374964, -786.151536413} {-27184.8833331, -21611.2233805, -909.210073509} {-27232.716948, -21644.4558816, -1025.88220481} {-27324.1216553, -21727.467838, -1067.8230401} 
8 {-2576.33466253, 21320.155603, -4751.4874321} {-2538.93603385, 21094.8834587, -4648.31628729} {-2677.64032993, 20888.2955497, -4618.76899773} {-2911.19643843, 20821.4082981, -4680.15396918} {-3102.79039837, 20933.4033365, -4796.51272795} {-3140.18899873, 21158.6755204, -4899.68387775} {-3001.48472519, 21365.2633628, -4929.23114947} {-2767.92866776, 21432.1506268, -4867.84620216} 
8 {1523.80358689, 11380.5280844, -1422.5536363} {1421.36392867, 11245.3867664, -1436.85396413} {1260.10593101, 11211.5788621, -1394.25765394} {1134.49236052, 11298.9086062, -1319.71704458} {1118.10590967, 11456.219418, -1256.897003} {1220.54558484, 11591.3607437, -1242.59667814} {1381.80355378, 11625.1686233, -1285.1929875} {1507.41712516, 11537.8389091, -1359.73358632} 
8 {-4065.57307874, -47847.9269848, -33.4571317894} {-4009.73318208, -47696.5037505, 54.5149907047} {-3982.08764709, -47521.1748201, 6.74807288455} {-3998.83085286, -47424.6455227, -148.776653522} {-4050.15486361, -47463.4614064, -320.954946331} {-4105.99476425, -47614.8846705, -408.927057852} {-4133.64028839, -47790.2135532, -361.160139492} {-4116.89709152, -47886.7428494, -205.635450158} 
8 {-13721.4889607, 32785.5594936, 369.401916055} {-13639.2692224, 32766.3599996, 315.020329896} {-13614.5645553, 32698.5742978, 245.157307093} {-13661.8466307, 32621.9103373, 200.737668505} {-13753.4182499, 32581.2768114, 207.781822901} {-13835.6379899, 32600.4763168, 262.163419712} {-13860.3426451, 32668.2620053, 332.026425498} {-13813.0605853, 32744.9259554, 376.446062308} 
8 {42512.0488, 7741.28298965, 736.395630343} {42908.5403626, 7946.6422456, 653.772806924} {43121.3106782, 8096.07240581, 281.477284512} {43025.7217936, 8102.03930591, -162.40519285} {42677.76832, 7961.04759462, -417.854356655} {42281.2767364, 7755.68831793, -335.231446067} {42068.5064904, 7606.25820337, 37.0639815155} {42164.095331, 7600.29129153, 480.946375595} 
8 {40758.0321629, 13897.7907318, 693.135705541} {40829.783709, 13831.8003781, 685.218198911} {40885.5851488, 13782.3771435, 748.536776423} {40892.7487427, 13778.4725007, 846.000275939} {40847.0781652, 13822.373727, 920.515916904} {40775.3266111, 13888.3640878, 928.433411824} {40719.5251879, 13937.7873074, 865.114844541} {40712.361588, 13941.6919562, 767.651361946} 
8 {41320.7026743, -22896.3966216, -450.426798605} {41378.4855482, -22840.1556325, -406.58653963} {41390.4129142, -22749.2192146, -403.095922593} {41349.4978866, -22676.8567006, -441.999699728} {41279.7079224, -22665.4570616, -500.508575919} {41221.9250475, -22721.6980666, -544.34883459} {41209.9976898, -22812.6344622, -547.8394464} {41250.9127039, -22884.9969692, -508.935680864} 
